token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,370.27263
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326b0d5ba05bb1db17298a0283ab1d3269adeb2,79.15876332
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81e51aa103490838fd9db1d859a5fcd8276324,69.9517728
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78ec73423b222cb225549bab0d0a812d58808ffd,88.5719016
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeb4e3e9fa819e69e5df4ea35b9c7973062c96de9,97.4529738
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cbf20d7393f372d7947338336b5043081871116,24.08823144
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28ede9352a5f76daec81cfc65d7246f6665f5fa3,10.69021044
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9baaee2d451477cf850fe4c0d89bb796b1ad,8.0388126
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,69.92895
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eb8cfd22aa719529217bfbade61677e0ad2,78.577044
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x091fcbb9186f392610740038ea5b8007fe7674e4,33.365514
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xed2aeaeac44036a35e36ccd7397d44ea70bdd73e,38.979486
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x841c11b14c428dd591093348b8afa2652c863988,5.613972
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bea65145f19702da07d8908e994a193b5855a1,27.751542
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa82bcd1ba56b4bb0f46bc29da53413c73be27509,37.937718
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28Cd26d85b4ac655A489Aa3f259F81283BD1A804,47.053188
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfad763da9051953fea58c2304395719a3b6ba361,4.56729